Name,Category,Award,Year,Former
Daniel Menascé,ACM and IEEE Fellows,IEEE Life Fellow,2025,
Songqing Chen,ACM and IEEE Fellows,"IEEE Fellow for contributions to Internet streaming, content delivery, and security",2024,
Jana Košecká,ACM and IEEE Fellows,IEEE Fellow for contributions to robust embodied vision systems and semantic modelling in robotics,2023,
Daniel Menascé,ACM and IEEE Fellows,IEEE Fellow for contributions to research and education in performance evaluation of computer systems,2014,
David S. Rosenblum,ACM and IEEE Fellows,"ACM Fellow for contributions to software testing and distributed systems, and for service to the software engineering community",2010,yes
David S. Rosenblum,ACM and IEEE Fellows,"IEEE Fellow for contributions to scalable, distributed component- and event-based software systems",2006,yes
Daniel Menascé,ACM and IEEE Fellows,"ACM Fellow for fundamental contributions to education and practice of computer networks and performance evaluation, and material contributions to the establishment of a strong computing industry in Brazil",1997,
Harry Wechsler,ACM and IEEE Fellows,IEEE Fellow,1993,
Mark J. Pullen,ACM and IEEE Fellows,IEEE Fellow for technical leadership in computing systems and networking,,yes
Mark J. Pullen,ACM and IEEE Fellows,"ACM Fellow for contributions to information technology in transitioning the Internet from a Federal research project to commercial availability, and development of Internet distance education technologies",,yes
Amarda Shehu,Other Lifetime Achievement Awards,"Fellow, The American Institute for Medical and Biological Engineering (AIMBE)",2022,
Kenneth De Jong,Other Lifetime Achievement Awards,"IEEE Evolutionary Computation Pioneer Award, to recognize significant contributions to early concepts and developments in the field of evolutionary computation",2005,
Kenneth De Jong,Other Lifetime Achievement Awards,"Senior Fellow, International Society for Genetic and Evolutionary Computation",2002,
Daniel Menascé,Other Lifetime Achievement Awards,"A. A. Michelson award from the Computer Measurement Group, a lifetime achievement award given in recognition of outstanding contributions to computer metrics",2001,
Harry Wechsler,Other Lifetime Achievement Awards,"Fellow, International Association for Pattern Recognition",1998,
Gheorghe Tecuci,Other Lifetime Achievement Awards,"Full Member, Romanian Academy",1993,yes
Gheorghe Tecuci,Other Lifetime Achievement Awards,"U.S. Army Outstanding Civilian Service Medal, for groundbreaking contributions to the application of artificial intelligence to center of gravity determination.",,yes
Giuseppe Ateniese,Most Influential Scholar Awards,AMiner's A-10 Most Influential Security and Privacy Scholars,2019,
Sanjeev Setia,Most Influential Scholar Awards,AMiner's A-10 Most Influential Security and Privacy Scholars,2016,
Giuseppe Ateniese,Most Influential Scholar Awards,MLSEC's Influential Top-100 Security Papers,2007,
Giuseppe Ateniese,Most Influential Scholar Awards,MLSEC's Influential Top-100 Security Papers,2005,
Sanjeev Setia,Most Influential Scholar Awards,MLSEC's Influential Top-100 Security Papers,2003,
Giuseppe Ateniese,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Test of Time Awards, ACNS - *Identity-Based Proxy Re-encryption*, ACNS 2007",2025,
ThanhVu (Vu) Nguyen,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, TSE (50th anniversary) - *GenProg: A Generic Method for Automated Software Repair*, TSE 2013",2025,
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICPC - *Automatic generation of natural language summaries for Java classes*, ICPC 2013",2023,
Kenneth De Jong,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Impact Paper Award, SIGEVO - *Genetic programming needs better benchmarks*, GECCO 2012",2022,
Sean Luke,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Impact Paper Award, SIGEVO - *Genetic programming needs better benchmarks*, GECCO 2012",2022,
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, WCRE - *On the use of automated text summarization techniques for summarizing source code*, WCRE 2010",2020,
Giuseppe Ateniese,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Jean-Claude Laprie Award, Dependable Computing and Fault Tolerance - *Scalable and Efficient Provable Data Possession* SecureComm 2008",2020,
Jeff Offutt,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, MODELS - *Modeling presentation layers of web applications for testing*, SoSyM 2010",2020,yes
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICSM - *On the use of relevance feedback in IR-based concept location*, ICSM 2009",2019,
Jeff Offutt,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","30-year Most Influential Paper Award, ISSRE - *Inter-class mutation operators for Java*, ISSRE 2002",2019,yes
ThanhVu (Vu) Nguyen,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICSE - *Automatically finding patches using genetic programming*, ICSE 2009",2019,
ThanhVu (Vu) Nguyen,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Impact Paper Award, SIGEVO - *A genetic programming approach to automated software repair*, GECCO 2009",2019,
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICPC - *Combining formal concept analysis with information retrieval for concept location in source code*, ICPC 2007",2017,
Sanjeev Setia,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Classic Paper, Google Scholar - *LEAP+: Efficient security mechanisms for large-scale distributed sensor networks*, TOSN 2006",2017,
Thomas LaToza,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Classic Paper, Google Scholar - *Maintaining mental models: a study of developer work habits*, ICSE 2006",2017,
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICSM - *The conceptual coupling metrics for object-oriented systems*, ICSM 2006",2016,
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, WCRE - *An information retrieval approach to concept location in source code*, WCRE 2004",2014,
Jeff Offutt,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Notable Article, ACM Computing Reviews - *Putting the engineering into software engineering education*, IEEE Software 2013",2013,yes
Andrian Marcus,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, VISSOFT - *A task oriented view of software visualization*, VISSOFT 2002",2012,
David Rosenblum,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Impact Paper Award, SIGSOFT - *A design framework for internet-scale event observation and notification*, SIGSOFT 1997",2008,yes
David Rosenblum,"Most Influential Paper, Impact Paper, and Test of Time Paper Awards","Most Influential Paper Award, ICSE - *Towards a method of programming with assertions*, ICSE 1992",2002,yes
Giuseppe Ateniese,Other Research Awards,IEEE CISTC Technical Recognition Award,2018,
Daniel Barbará,Other Research Awards,"First Prize, 16th ACM BCB - *From Contrast to Control: Domain Conditioned Masking for Small Molecule Generation of Quaternary Ammonium Compounds*",2025,
Daniel Barbará,Other Research Awards,"Honorable Mention, IEEE ICAD 2026 - *Diversity Under Domain Conditioning: Comparing SimSon and CONSMI for QAC Generation*",2026,
Amarda Shehu,Other Research Awards,"First Prize, 16th ACM BCB - *From Contrast to Control: Domain Conditioned Masking for Small Molecule Generation of Quaternary Ammonium Compounds*",2025,
Amarda Shehu,Other Research Awards,"Honorable Mention, IEEE ICAD 2026 - *Diversity Under Domain Conditioning: Comparing SimSon and CONSMI for QAC Generation*",2026,
Ziyu Yao, NSF CAREER Awards,"""Towards Scalable and Actionable Interpretability of Language Models for Code Generation""",2026,
Antonios Anastasopoulos,NSF CAREER Awards,"""Leveraging Grammar Books to Develop Language Technologies for Data-Scarce Languages""",2025,
Evgenios Kornaropoulos,NSF CAREER Awards,"""Encrypted Systems with Fine-Grained Leakage""",2025,
Wing Lam,NSF CAREER Awards,"""Enhanced Reliability and Efficiency of Software Regression Testing in the Presence of Flaky Tests""",2024,
Jinwei Ye,NSF CAREER Awards,"""Towards Polarimetric Visual Understanding""",2023,
ThanhVu (Vu) Nguyen,NSF CAREER Awards,"""NeuralSAT: A Constraint-Solving Framework for Verifying Deep Neural Networks""",2023,
Foteini Baldimtsi,NSF CAREER Awards,"""Privacy Preserving Transactions with Accountability Extensions""",2022,
Qiang Zeng,NSF CAREER Awards,"""Towards Secure and Usable IoT Authentication Under Constraints,"" (Received at University of South Carolina and Transferred to GMU)",2022,
Parth Pathak,NSF CAREER Awards,"""Unifying Millimeter-wave Networking and Sensing using Commodity Backscatter""",2021,
Yue Cheng,NSF CAREER Awards,"*""Harnessing Serverless Functions to Build Highly Elastic Cloud Storage Infrastructure,"" 2021",2021,yes
Craig Yu,NSF CAREER Awards,"""Performance-Guided Synthesis of Virtual Environments for Personalized Training""",2020,
Dov Gordon,NSF CAREER Awards,"""Trading Security for Efficiency in Secure Computation""",2020,
Jonathan Bell,NSF CAREER Awards,"* - ""Amplifying Developer-Written Tests for Code Injection Vulnerability Detection,"" 2019",2019,yes
Thomas LaToza,NSF CAREER Awards,"""Debugging Mental Models""",2019,
Yotam Gingold,NSF CAREER Awards,"""Direct Manipulation of Numerical Optimization for Structured Geometry Creation""",2015,
Huzefa Rangwala,NSF CAREER Awards,"""Annotating the Microbiome Using Machine Learning Methods,"" 2013",2013,yes
Sam Malek,NSF CAREER Awards,"*""A Mining‐Based Approach for Consistent and Timely Adaptation of Component‐Based Software,"" 2013",2013,yes
Amarda Shehu,NSF CAREER Awards,"""Probabilistic Methods for Addressing Complexity and Constraints in Protein Systems""",2012,
Andrian Marcus,NSF CAREER Awards,"""Management of Unstructured Information During Software Evolution""",2009,
Xinyuan (Frank) Wang,NSF CAREER Awards,"""Malware Immunization and Forensics Based on Another Sense of Self""",2009,
Songqing Chen,NSF CAREER Awards,"""Internet Resource Management to Deliver High Quality Live and On-Demand Streaming for Wireless Clients""",2008,
Hakan Aydin,NSF CAREER Awards,"""A Holistic Energy Management Framework for Real-Time Embedded Systems""",2006,
Carlotta Domeniconi,NSF CAREER Awards,"""Learning Local Feature Relevance for Pattern Classification and Clustering""",2005,
Jana Košecká,NSF CAREER Awards,"""Geometric and Appearance Based Methods for Model Acquisition""",2003,
Giuseppe Ateniese,NSF CAREER Awards,"""Health Information Privacy Protection: System and Social Aspects""",2002,
Alex Brodsky,NSF CAREER Awards,"""Constraint Databases: Space, Time and Combinatorial Optimization""",1998,
David Rosenblum,NSF CAREER Awards,"""Mechanisms for Ensuring the Integrity of Distributed Object Systems” (Received at University of California, Irvine)",1997,yes
Elizabeth White,NSF CAREER Awards,"""General Support for Dynamic Reconfiguration""",1996,
Gurdip Singh,NSF CAREER Awards,"""Modular Design of Protocols,"" (Received at Kansas State University)",1995,
Thema Monroe-White,NSF CAREER Awards,"""Investigating Undergraduate Student Persistence Intentions for a Diverse Data Science Community""",,
Songqing Chen,Airforce Office of Scientific Research (AFOSR) Young Investigator Program,"""Self Detecting Stealthy Malware on your Host""",2009,
Xuesu Xiao,Early Career Awards,ICRA New Generation Star,2024,
Kevin Moran,Early Career Awards,MOBILESoft Rising Star Award,2023,yes
Jinwei Ye,Early Career Awards,NSF CRII Award,2020,
ThanhVu (Vu) Nguyen,Early Career Awards,NSF CRII Award,2020,
Grigory Yaroslavtsev,Early Career Awards,NSF CRII Award,2017,yes
Craig Yu,Early Career Awards,NSF CRII Award,2015,
Keren Zhou,Dissertation Awards,"Doctoral Dissertation Award, ACM SIGHPC",2023,
Evgenios Kornaropoulos,Dissertation Awards,"Miretta Flytzani-Stephanopoulos Doctoral Thesis Achievement Award, The Circle of Hellenic Academics in Boston",2022,
Lishan Yang,Dissertation Awards,"Kaivalya Dixit Distinguished Dissertation Award, Standard Performance Evaluation Corporation (SPEC)",2022,
Wing Lam,Dissertation Awards,"Outstanding Dissertation Award, ACM SIGSOFT",2022,
Ziyu Yao,Industrial Awards,"Amazon Research Award (Trainium)",2026,
ThanhVu (Vu) Nguyen,Industrial Awards,"Amazon Research Award (Trainium, Reliable AI)",2026,
ThanhVu (Vu) Nguyen,Industrial Awards,NVIDIA Academic Grant Award,2025,
Mingrui Liu,Industrial Awards,Cisco Research Award,2024,
ThanhVu (Vu) Nguyen,Industrial Awards,Amazon Research Award (Automated Reasoning),2023,
Bo Han,Industrial Awards,Facebook Research Award (Security),2022,
Brittany Johnson-Matthew,Industrial Awards,Google Research Scholar Award (Software Engineer),2022,
Evgenios Kornaropoulos,Industrial Awards,Facebook Research Award (Security),2022,
Jana Košecká,Industrial Awards,Amazon Research Award (Fairness in AI),2022,
Kevin Moran,Industrial Awards,"Cisco Advanced Security Research Group Award, 2022",2022,yes
Songqing Chen,Industrial Awards,Facebook Research Award (Security),2022,
Foteini Baldimtsi,Industrial Awards,Google Faculty Research Award,2021,
Kevin Moran,Industrial Awards,"Cisco Advanced Security Research Group Award, 2021",2021,yes
Antonios Anastasopoulos,Industrial Awards,Google Award for Inclusion,2020,
Foteini Baldimtsi,Industrial Awards,Facebook Faculty Research Award (Privacy),2020,
Craig Yu,Industrial Awards,Microsoft Azure Award,2017,
